category,condition,q50,q75,q90,q95,support,fallback
Backpacks & Bags,like new,447.97373298061063,641.221846091802,1226.8981634192655,2231.4525583938007,4000,False
Backpacks & Bags,new,452.3198980094527,644.6232373295461,1257.3964233449624,2469.677414864175,9000,False
Backpacks & Bags,used,371.19411948048946,798.4278958695068,1654.3230036416135,2263.9410136444058,7000,False
Books & Study Materials,like new,931.5946054655263,1646.2247752367962,2666.3145879311382,4041.9373479564915,4000,False
Books & Study Materials,new,943.9595609798341,1676.604233978796,2849.842273468969,4288.550377211216,9000,False
Books & Study Materials,used,542.2671207798239,855.668330105039,1054.8594293031817,1230.2690963785694,7000,False
Clothing & Apparel,like new,8947.223565316952,17267.59941892376,28148.251802182516,37204.792654408644,4000,False
Clothing & Apparel,new,12492.108087092209,22541.664137461143,34428.067529857515,43558.11740289199,9000,False
Clothing & Apparel,used,2796.158770880269,6098.723449670088,11578.140593103019,16922.41335988056,7000,False
Electronics & Tech Accessories,like new,4670.24701582629,9961.223896273867,16079.1411106276,21307.807560702375,4000,False
Electronics & Tech Accessories,new,337.43045291535213,914.9218541640868,2248.1165076250545,5853.75178104521,9000,False
Electronics & Tech Accessories,used,6468.882026465088,11788.79623231455,17847.898724972012,23111.591233836818,7000,False
Entertainment & Hobby,like new,596.4886890267862,841.8271956161473,1372.8116269813397,1646.3430804711227,4000,False
Entertainment & Hobby,new,470.7297229104431,607.8810238759879,1066.3338798035331,1161.3308384404243,9000,False
Entertainment & Hobby,used,676.376120609611,899.7319495320926,1451.5925122663289,1602.2256803433984,7000,False
Foodware & Drinkware,like new,428.6822963379906,682.55302593333,1141.370924909738,1629.9707253475024,4000,False
Foodware & Drinkware,new,441.95226091912076,705.1476386633158,1159.3910004030893,1611.2492239122666,9000,False
Foodware & Drinkware,used,427.62875293808884,639.0570085398301,1058.1557111466248,1495.0289725210534,7000,False
Health & Wellness,like new,660.4509646402889,1040.402636435039,1642.9308596304281,2350.92431741096,4000,False
Health & Wellness,new,658.9745002091363,1048.1476570418206,1660.3344638427425,2336.903080821205,9000,False
Health & Wellness,used,685.0609384848101,1067.7942435146629,1493.7076395611737,2227.9427518828224,7000,False
Sports & Fitness Equipment,like new,696.9421087801082,3029.366700775179,7674.6054787642315,13460.497721295329,4000,False
Sports & Fitness Equipment,new,679.9146322452959,3502.425942398786,9323.416704305526,16533.209523691206,9000,False
Sports & Fitness Equipment,used,300.6016667989825,459.3528744788309,750.8737342854001,945.1263434265838,7000,False
Stationery & School Supplies,like new,661.4396737264386,994.8398131699132,1682.5977695725246,2256.432724172559,4000,False
Stationery & School Supplies,new,672.4010355804508,1043.6928663188473,1799.1114457639753,2441.67917161667,9000,False
Stationery & School Supplies,used,612.5588674302235,964.2754523805055,1699.8756220999478,2270.607230265993,7000,False
